x y z
52.2 618.531 -5.09069
52.3 618.019 -5.14442
52.4 617.502 -5.19824
52.5 616.979 -5.25217
52.6 616.451 -5.3062
52.7 615.918 -5.36033
52.8 615.379 -5.41456
52.9 614.835 -5.46891
53 614.286 -5.52336
53.1 613.731 -5.57791
53.2 613.17 -5.63258
53.3 612.604 -5.68736
53.4 612.033 -5.74225
53.5 611.456 -5.79726
53.6 610.873 -5.85238
53.7 610.285 -5.90762
53.8 609.692 -5.96297
53.9 609.092 -6.01845
54 608.488 -6.07404
54.1 607.878 -6.12976
54.2 607.262 -6.1856
54.3 606.641 -6.24156
54.4 606.014 -6.29765
54.5 605.381 -6.35387
54.6 604.743 -6.41022
54.7 604.099 -6.4667
54.8 603.449 -6.52331
54.9 602.794 -6.58005
55 602.133 -6.63693
55.1 601.467 -6.69395
55.2 600.795 -6.7511
55.3 600.117 -6.80839
55.4 599.433 -6.86582
55.5 598.743 -6.9234
55.6 598.048 -6.98112
55.7 597.347 -7.03898
55.8 596.64 -7.097
55.9 595.928 -7.15516
56 595.209 -7.21347
56.1 594.485 -7.27193
56.2 593.755 -7.33055
56.3 593.019 -7.38932
56.4 592.277 -7.44825
56.5 591.529 -7.50734
56.6 590.776 -7.56658
56.7 590.016 -7.62599
56.8 589.25 -7.68557
56.9 588.479 -7.74531
57 587.701 -7.80521
57.1 586.918 -7.86529
57.2 586.128 -7.92553
57.3 585.333 -7.98595
57.4 584.531 -8.04654
57.5 583.723 -8.10731
57.6 582.91 -8.16826
57.7 582.09 -8.22939
57.8 581.264 -8.29069
57.9 580.432 -8.35219
58 579.593 -8.41386
58.1 578.749 -8.47573
58.2 577.898 -8.53778
58.3 577.041 -8.60003
58.4 576.178 -8.66247
58.5 575.309 -8.7251
58.6 574.433 -8.78794
58.7 573.551 -8.85097
58.8 572.663 -8.9142
58.9 571.768 -8.97764
59 570.867 -9.04128
59.1 569.96 -9.10513
59.2 569.046 -9.16919
59.3 568.126 -9.23347
59.4 567.2 -9.29796
59.5 566.267 -9.36266
59.6 565.327 -9.42758
59.7 564.381 -9.49273
59.8 563.429 -9.5581
